accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.796296296,23,20,7,4,0.807017544,0.766666667,0.851851852,train,,,,0.722222222,8,5,4,1,0.761904762,0.666666667,0.888888889,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.444444444,5,3,6,4,0.5,0.454545455,0.555555556,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.851851852,20,26,1,7,0.833333333,0.952380952,0.740740741,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.944444444,24,27,0,3,0.941176471,1,0.888888889,train,,,,0.5,3,6,3,6,0.4,0.5,0.333333333,test
0.87037037,22,25,2,5,0.862745098,0.916666667,0.814814815,train,,,,0.666666667,7,5,4,2,0.7,0.636363636,0.777777778,test
0.888888889,25,23,4,2,0.892857143,0.862068966,0.925925926,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.87037037,23,24,3,4,0.867924528,0.884615385,0.851851852,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.888888889,24,24,3,3,0.888888889,0.888888889,0.888888889,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.888888889,24,24,3,3,0.888888889,0.888888889,0.888888889,train,,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.833333333,24,21,6,3,0.842105263,0.8,0.888888889,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.814814815,23,21,6,4,0.821428571,0.793103448,0.851851852,train,,,,0.277777778,2,3,6,7,0.235294118,0.25,0.222222222,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.722222222,20,19,8,7,0.727272727,0.714285714,0.740740741,train,,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
