accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.685185185,19,18,9,8,0.690909091,0.678571429,0.703703704,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.740740741,18,22,5,9,0.72,0.782608696,0.666666667,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.888888889,25,23,4,2,0.892857143,0.862068966,0.925925926,train,,,,0.666666667,7,5,4,2,0.7,0.636363636,0.777777778,test
0.814814815,23,21,6,4,0.821428571,0.793103448,0.851851852,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.796296296,23,20,7,4,0.807017544,0.766666667,0.851851852,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.666666667,19,17,10,8,0.678571429,0.655172414,0.703703704,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.703703704,17,21,6,10,0.68,0.739130435,0.62962963,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.388888889,3,4,5,6,0.352941176,0.375,0.333333333,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.5,2,7,2,7,0.307692308,0.5,0.222222222,test
0.722222222,19,20,7,8,0.716981132,0.730769231,0.703703704,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.814814815,20,24,3,7,0.8,0.869565217,0.740740741,train,,,,0.833333333,7,8,1,2,0.823529412,0.875,0.777777778,test
0.87037037,22,25,2,5,0.862745098,0.916666667,0.814814815,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.555555556,3,7,2,6,0.428571429,0.6,0.333333333,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
