accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.962962963,27,25,2,0,0.964285714,0.931034483,1,train,,,,0.777777778,9,5,4,0,0.818181818,0.692307692,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,27,25,2,0,0.964285714,0.931034483,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.907407407,23,26,1,4,0.901960784,0.958333333,0.851851852,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
0.925925926,24,26,1,3,0.923076923,0.96,0.888888889,train,,,,0.888888889,8,8,1,1,0.888888889,0.888888889,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.925925926,24,26,1,3,0.923076923,0.96,0.888888889,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,8,8,1,1,0.888888889,0.888888889,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.925925926,24,26,1,3,0.923076923,0.96,0.888888889,train,,,,1,9,9,0,0,1,1,1,test
0.907407407,24,25,2,3,0.905660377,0.923076923,0.888888889,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
